"","","","","/項目 コード","A1101","A1301","A1302","A1303"
"地域 コード","地域","調査年 コード","調査年","/項目","A1101_総人口【人】","A1301_15歳未満人口【人】","A1302_15～64歳人口【人】","A1303_65歳以上人口【人】"
"01214","北海道 稚内市","2015100000","2015年度","","36,380","4,304","21,570","10,505"
"01214","北海道 稚内市","2010100000","2010年度","","39,595","4,807","25,125","9,663"
"01214","北海道 稚内市","2005100000","2005年度","","41,592","5,393","27,568","8,631"
"01214","北海道 稚内市","2000100000","2000年度","","43,774","6,277","29,945","7,552"
"01214","北海道 稚内市","1995100000","1995年度","","45,754","7,670","31,952","6,132"
"01214","北海道 稚内市","1990100000","1990年度","","48,232","9,378","33,922","4,932"
"01214","北海道 稚内市","1985100000","1985年度","","51,854","11,700","35,998","4,156"
"01214","北海道 稚内市","1980100000","1980年度","","53,471","13,108","36,838","3,525"
"01215","北海道 美唄市","2020100000","2020年度","","20,413","1,539","10,169","8,642"
"01215","北海道 美唄市","2015100000","2015年度","","23,035","1,973","12,205","8,853"
"01215","北海道 美唄市","2010100000","2010年度","","26,034","2,573","14,887","8,555"
"01215","北海道 美唄市","2005100000","2005年度","","29,083","3,178","17,528","8,377"
"01215","北海道 美唄市","2000100000","2000年度","","31,183","3,717","19,644","7,820"
"01215","北海道 美唄市","1995100000","1995年度","","33,434","4,497","21,932","7,005"
"01215","北海道 美唄市","1990100000","1990年度","","35,176","5,607","23,546","6,012"
"01215","北海道 美唄市","1985100000","1985年度","","37,414","6,867","25,336","5,211"
"01215","北海道 美唄市","1980100000","1980年度","","38,552","7,776","26,286","4,488"
"01216","北海道 芦別市","2020100000","2020年度","","12,555","845","5,705","5,995"
"01216","北海道 芦別市","2015100000","2015年度","","14,676","1,109","7,160","6,405"
"01216","北海道 芦別市","2010100000","2010年度","","16,628","1,429","8,791","6,407"
"01216","北海道 芦別市","2005100000","2005年度","","18,899","1,910","10,566","6,423"
"01216","北海道 芦別市","2000100000","2000年度","","21,026","2,421","12,604","6,001"
"01216","北海道 芦別市","1995100000","1995年度","","22,931","2,956","14,734","5,241"
"01216","北海道 芦別市","1990100000","1990年度","","25,078","3,793","16,774","4,511"
"01216","北海道 芦別市","1985100000","1985年度","","30,017","5,521","20,352","4,144"
"01216","北海道 芦別市","1980100000","1980年度","","32,946","6,865","22,460","3,621"
"01217","北海道 江別市","2020100000","2020年度","","121,056","13,400","69,555","36,783"
"01217","北海道 江別市","2015100000","2015年度","","120,636","13,524","74,253","32,585"
"01217","北海道 江別市","2010100000","2010年度","","123,722","15,041","81,565","27,008"
"01217","北海道 江別市","2005100000","2005年度","","125,601","17,374","85,743","22,481"
"01217","北海道 江別市","2000100000","2000年度","","123,877","19,216","85,788","18,832"
"01217","北海道 江別市","1995100000","1995年度","","115,495","19,474","81,696","14,325"
"01217","北海道 江別市","1990100000","1990年度","","97,201","17,786","69,062","10,351"
"01217","北海道 江別市","1985100000","1985年度","","90,328","19,107","63,509","7,712"
"01217","北海道 江別市","1980100000","1980年度","","86,349","20,205","60,226","5,870"
"01218","北海道 赤平市","2020100000","2020年度","","9,698","603","4,280","4,669"
"01218","北海道 赤平市","2015100000","2015年度","","11,105","835","5,306","4,964"
"01218","北海道 赤平市","2010100000","2010年度","","12,637","1,072","6,655","4,909"
"01218","北海道 赤平市","2005100000","2005年度","","14,401","1,390","8,023","4,988"
"01218","北海道 赤平市","2000100000","2000年度","","15,753","1,572","9,472","4,709"
"01218","北海道 赤平市","1995100000","1995年度","","17,351","2,003","11,158","4,190"
"01218","北海道 赤平市","1990100000","1990年度","","19,409","2,718","13,088","3,601"
"01218","北海道 赤平市","1985100000","1985年度","","22,645","3,920","15,596","3,129"
"01218","北海道 赤平市","1980100000","1980年度","","25,467","4,931","17,924","2,612"
"01219","北海道 紋別市","2020100000","2020年度","","21,215","1,971","11,515","7,697"
"01219","北海道 紋別市","2015100000","2015年度","","23,109","2,329","12,707","7,631"
"01219","北海道 紋別市","2010100000","2010年度","","24,750","2,774","14,855","7,103"
"01219","北海道 紋別市","2005100000","2005年度","","26,632","3,351","16,678","6,594"
"01219","北海道 紋別市","2000100000","2000年度","","28,476","3,852","18,830","5,794"
"01219","北海道 紋別市","1995100000","1995年度","","30,137","4,574","20,780","4,783"
"01219","北海道 紋別市","1990100000","1990年度","","31,078","5,459","21,728","3,891"
"01219","北海道 紋別市","1985100000","1985年度","","32,163","6,592","22,431","3,140"
"01219","北海道 紋別市","1980100000","1980年度","","33,860","7,511","23,686","2,663"
"01220","北海道 士別市","2020100000","2020年度","","17,858","1,652","8,803","7,350"
"01220","北海道 士別市","2015100000","2015年度","","19,914","2,066","10,384","7,451"
"01220","北海道 士別市","2010100000","2010年度","","21,787","2,584","12,069","7,134"
"01220","北海道 士別市","2005100000","2005年度","","23,411","2,890","13,756","6,763"
"01220","北海道 士別市","2000100000","2000年度","","24,991","3,291","15,503","6,197"
"01220","北海道 士別市","1995100000","1995年度","","26,403","3,885","17,044","5,474"
"01220","北海道 士別市","1990100000","1990年度","","28,162","4,884","18,754","4,523"
"01220","北海道 士別市","1985100000","1985年度","","30,459","6,051","20,565","3,843"
"01220","北海道 士別市","1980100000","1980年度","","32,103","7,049","21,738","3,313"
"01221","北海道 名寄市","2020100000","2020年度","","27,282","3,018","15,232","8,747"
"01221","北海道 名寄市","2015100000","2015年度","","29,048","3,453","16,755","8,794"
"01221","北海道 名寄市","2010100000","2010年度","","30,591","3,767","18,597","8,227"
"01221","北海道 名寄市","2005100000","2005年度","","31,628","4,064","19,682","7,880"
"01221","北海道 名寄市","2000100000","2000年度","","33,328","4,585","21,624","7,119"
"01221","北海道 名寄市","1995100000","1995年度","","34,664","5,392","23,166","6,103"
"01221","北海道 名寄市","1990100000","1990年度","","37,194","6,757","25,208","5,180"
"01221","北海道 名寄市","1985100000","1985年度","","41,069","8,800","27,886","4,383"
"01221","北海道 名寄市","1980100000","1980年度","","42,222","9,609","28,810","3,803"
"01222","北海道 三笠市","2020100000","2020年度","","8,040","655","3,566","3,819"
"01222","北海道 三笠市","2015100000","2015年度","","9,076","694","4,199","4,181"
"01222","北海道 三笠市","2010100000","2010年度","","10,221","773","5,121","4,327"
"01222","北海道 三笠市","2005100000","2005年度","","11,927","975","6,383","4,569"
"01222","北海道 三笠市","2000100000","2000年度","","13,561","1,243","7,695","4,623"
"01222","北海道 三笠市","1995100000","1995年度","","15,116","1,538","9,407","4,171"
"01222","北海道 三笠市","1990100000","1990年度","","17,049","2,102","11,224","3,723"
"01222","北海道 三笠市","1985100000","1985年度","","21,511","3,510","14,725","3,276"
"01222","北海道 三笠市","1980100000","1980年度","","23,319","4,225","16,192","2,902"
"01223","北海道 根室市","2020100000","2020年度","","24,636","2,396","13,370","8,648"
"01223","北海道 根室市","2015100000","2015年度","","26,917","3,033","15,533","8,285"
"01223","北海道 根室市","2010100000","2010年度","","29,201","3,565","17,899","7,732"
"01223","北海道 根室市","2005100000","2005年度","","31,202","4,310","19,867","7,025"
"01223","北海道 根室市","2000100000","2000年度","","33,150","5,080","22,093","5,977"
"01223","北海道 根室市","1995100000","1995年度","","34,934","6,023","23,962","4,949"
"01223","北海道 根室市","1990100000","1990年度","","36,912","7,342","25,450","4,120"
"01223","北海道 根室市","1985100000","1985年度","","40,675","9,246","27,827","3,602"
"01223","北海道 根室市","1980100000","1980年度","","42,880","10,937","28,799","3,144"
"01224","北海道 千歳市","2020100000","2020年度","","97,950","13,012","62,066","22,690"
"01224","北海道 千歳市","2015100000","2015年度","","95,648","13,573","61,908","19,979"
"01224","北海道 千歳市","2010100000","2010年度","","93,604","13,883","63,261","16,293"
"01224","北海道 千歳市","2005100000","2005年度","","91,437","14,373","63,554","13,461"
"01224","北海道 千歳市","2000100000","2000年度","","88,897","14,990","63,433","10,437"
"01224","北海道 千歳市","1995100000","1995年度","","84,866","15,873","61,350","7,636"
"01224","北海道 千歳市","1990100000","1990年度","","78,946","16,411","57,063","5,312"
"01224","北海道 千歳市","1985100000","1985年度","","73,610","17,772","51,913","3,917"
"01224","北海道 千歳市","1980100000","1980年度","","66,788","17,169","46,643","2,936"
"01225","北海道 滝川市","2020100000","2020年度","","39,490","3,995","21,161","13,821"
"01225","北海道 滝川市","2015100000","2015年度","","41,192","4,456","23,001","13,353"
"01225","北海道 滝川市","2010100000","2010年度","","43,170","5,132","26,067","11,912"
"01225","北海道 滝川市","2005100000","2005年度","","45,562","5,813","28,843","10,906"
"01225","北海道 滝川市","2000100000","2000年度","","46,861","6,638","30,867","9,356"
"01225","北海道 滝川市","1995100000","1995年度","","48,425","7,570","33,093","7,762"
"01225","北海道 滝川市","1990100000","1990年度","","49,591","8,862","34,351","6,372"
"01225","北海道 滝川市","1985100000","1985年度","","52,004","11,146","35,671","5,186"
"01225","北海道 滝川市","1980100000","1980年度","","51,192","12,140","34,737","4,304"
"01226","北海道 砂川市","2020100000","2020年度","","16,486","1,388","8,138","6,404"
"01226","北海道 砂川市","2015100000","2015年度","","17,694","1,758","9,355","6,390"
"01226","北海道 砂川市","2010100000","2010年度","","19,056","2,147","10,977","5,932"
"01226","北海道 砂川市","2005100000","2005年度","","20,068","2,412","12,040","5,616"
"01226","北海道 砂川市","2000100000","2000年度","","21,072","2,696","13,404","4,972"
"01226","北海道 砂川市","1995100000","1995年度","","21,722","3,172","14,389","4,154"
"01226","北海道 砂川市","1990100000","1990年度","","23,152","4,045","15,742","3,365"
"01226","北海道 砂川市","1985100000","1985年度","","24,829","5,007","16,938","2,884"
"01226","北海道 砂川市","1980100000","1980年度","","25,355","5,435","17,525","2,395"
